frame,a,b,c,d,e,intervalo
imagen1,,,,,,5.0
imagen2,-0.013721817027810834,0.2815695237050887,-1.9641917895637737,7.530824727946716,2.140312703040906,12.0
imagen3,-0.0006193381826657962,0.02725376399815767,-0.4726888640821297,4.82856008216694,4.7093668151019585,18.0
imagen4,-0.00011986938165575722,0.009406653589721177,-0.28382315547981524,4.44613395224153,1.451670888316249,26.0
imagen5,-9.03004832699127e-05,0.00744877424793366,-0.23675182538810943,3.9476056480782655,3.7114829119912125,33.0
imagen6,-4.96270587972969e-05,0.004904997952098242,-0.1869637813034236,3.59155364485765,5.24591148208919,40.0
imagen7,-2.9493625592458272e-05,0.0034198828483069407,-0.15545049360693586,3.4844907722957656,3.6759632059471588,47.0
imagen8,-1.792191322147474e-05,0.0022933093068256342,-0.11900079285852753,3.0311874419562748,6.806497257350827,53.0
imagen9,-1.175922043361588e-05,0.00174478977430274,-0.10570524616568394,3.009284401098479,5.435767380510667,62.0
imagen10,-1.3003456389258592e-05,0.0018891568889594567,-0.1104529128976759,3.0176133133021485,6.638106231485221,71.0
imagen11,-1.328269988615543e-05,0.001964446798933824,-0.11598465577826822,3.1824755736344796,4.873966347670402,74.0
imagen12,-1.1995936905151439e-05,0.0017545770811671806,-0.10437937890135196,2.9135163270279967,6.302208305915092,73.0
imagen13,-1.3478932593624648e-05,0.0020024671679770506,-0.11830070775589416,3.230709344904714,4.845565827815466,74.0
imagen14,-1.2554240984563592e-05,0.0018372063644606525,-0.10846914009717626,2.993372903173705,5.964456888731294,73.0
imagen15,-1.3257236850527931e-05,0.0019630303902508847,-0.1157359686956273,3.1572996638144035,4.697468227244061,74.0
imagen16,-1.2524356423071481e-05,0.0018279808640967272,-0.10738636734777458,2.9380506028432283,6.944148294726948,73.0
imagen17,-1.463357135803221e-05,0.0021732162203757723,-0.12574274460859808,3.2997980072404323,4.611828120895477,74.0
imagen18,-1.4680017748291974e-05,0.0020465225400084306,-0.11354177313785443,2.857985973437528,11.227076692640713,70.0
imagen19,-1.056206259564263e-05,0.0010180501648251379,-0.04297476466819328,0.8445622698830731,31.542756643831225,62.0
imagen20,-3.836181604352902e-05,0.004171024749272601,-0.16622325583796513,2.3982515733050223,33.063587742521214,56.0
imagen21,-6.842437614063002e-06,0.0008549912175790099,-0.06773923088417366,1.4626630641477785,36.58159089264214,50.0
imagen22,-7.127166770803939e-05,0.004264728142979991,-0.11013344389535251,1.4369429923511279,38.4679490638386,41.0
imagen23,-0.00019430198433423307,0.014186342214222833,-0.3688105401515116,3.972951977289281,30.484140949423544,40.0
imagen24,-0.00013307206567469976,0.010810872287670612,-0.32420324665603056,4.164647740987301,25.97905596723783,43.0
imagen25,-1.0226387741285592e-05,0.00041127110394713025,-0.024507500166640484,0.8241201237284548,35.94065626867213,51.0
imagen26,-2.1178773023544003e-05,0.0020230882801652167,-0.08839436139696717,1.7178736386442428,30.96148622722157,55.0
imagen27,-2.3536044014837998e-05,0.00244748199954183,-0.10262712905513775,1.839090273752363,29.351522692814445,58.0
imagen28,-1.8445240006048635e-05,0.0019087387821917303,-0.08210022113322567,1.6132298336410058,27.820349369106513,60.0
imagen29,-1.730515737574656e-05,0.0018273774599507518,-0.08103741000396845,1.7448926078855318,24.287402338192997,62.0
imagen30,-2.4677032322673043e-05,0.0030571504260325393,-0.14679639326308652,3.1480446092063223,13.391094790141452,64.0
imagen31,-2.074977186539151e-05,0.002636505436285422,-0.13339920479255693,3.1090663145796937,11.912535149922187,65.0
imagen32,-2.232400693169545e-05,0.002881033009157671,-0.143458297539735,3.2584040003152412,9.97758258695725,67.0
imagen33,-1.9949164479866665e-05,0.002617812965758322,-0.134459044241477,3.2047291311461175,8.537080445141981,68.0
imagen34,-1.696627055258983e-05,0.002248324982287228,-0.12083183084045192,3.1120633346442896,6.881503635977691,68.0
imagen35,-1.6015113196043984e-05,0.00213093195799028,-0.1162117488219904,3.070803820284335,7.163837068149838,68.0
imagen36,-1.699617430950262e-05,0.0022830835261267363,-0.12386629679304079,3.2213574769042648,5.881462075823729,69.0
imagen37,-1.737378200439288e-05,0.0023419116947744215,-0.1263258746231839,3.249521074266204,5.34140596012527,69.0
imagen38,-1.7265057429938224e-05,0.0023088820583872516,-0.12431746073959375,3.222407262755004,6.129487119386515,69.0
imagen39,-1.5811976724106882e-05,0.002103154742465375,-0.11485810956399926,3.0622680603216734,5.809212077337532,68.0
imagen40,-1.681893885074892e-05,0.0022446746093605285,-0.12156273206636677,3.1681898852997508,6.38338960936597,68.0
imagen41,-1.9614388864178223e-05,0.0025970424571504272,-0.13481987757833958,3.284334243898197,6.716539282467537,68.0
imagen42,-1.6708877163651437e-05,0.0021530251215725045,-0.11296953624988272,2.885173905166233,8.95599409500216,67.0
imagen43,-1.726452744765794e-05,0.0021863061726370113,-0.11249804467568324,2.8124885113524707,10.144041758421055,67.0
imagen44,-1.9784187104132656e-05,0.0025418529181788696,-0.12987430403429362,3.1256103695415676,9.646386498478105,66.0
imagen45,-2.337831315357697e-05,0.002972978734843491,-0.14534242263847993,3.2535792113644346,9.968049632491851,65.0
imagen46,-1.884301459353921e-05,0.002284584065907923,-0.11128396917257685,2.609047757886178,14.00785626373488,65.0
imagen47,-2.1405807159258217e-05,0.0026489726227091393,-0.12986276396546215,2.987029150274386,11.475307941443294,64.0
imagen48,-2.3134785748890607e-05,0.0028612371806463342,-0.13859166588817104,3.0980189138858676,12.291491893944375,64.0
imagen49,-2.4633779963867397e-05,0.0029584324973833073,-0.1359536141946458,2.852705426395848,14.925193735852112,64.0
imagen50,-2.501263486021088e-05,0.003045289540897601,-0.14322756991014687,3.0870771142308406,12.780007567647225,64.0
imagen51,-2.4098180842369032e-05,0.0029429440428972524,-0.13974906398845627,3.062510699374348,13.113953372746893,64.0
imagen52,-2.0927031842754573e-05,0.0024890492613828434,-0.11669916580653816,2.5835577751065304,15.988586514990212,64.0
imagen53,-2.303517090296303e-05,0.00284348530872981,-0.1369068326529662,3.052346339497813,12.127613932218251,64.0
imagen54,-2.2799487492841664e-05,0.0028427076340265893,-0.13811760048918245,3.1007328737589686,12.369540367382227,64.0
imagen55,-2.1790515419173317e-05,0.0027105800365145745,-0.13250942495482046,3.0291491541050615,11.997287615633144,64.0
imagen56,-2.3558640269261133e-05,0.0029316133749675865,-0.14099735723872647,3.1281837115404714,11.726189781407122,65.0
imagen57,-2.5412474866870483e-05,0.0031743383891884107,-0.15040888008625125,3.232527258854708,11.189285401585376,65.0
imagen58,-2.2097985392877106e-05,0.00275996193885143,-0.13486109480072034,3.0722320111912174,11.039230472691912,65.0
imagen59,-1.8469724442082835e-05,0.002210911968794843,-0.10663996972525648,2.5160379698879756,15.051016464559176,65.0
imagen60,-1.9014684587759234e-05,0.0022735323857528632,-0.10859101095408283,2.518490399887714,14.19324843992965,65.0
imagen61,-2.5324021492245663e-05,0.003159277986601314,-0.14925431841131837,3.1954883760254646,11.637930189657816,64.0
imagen62,-2.1795788955225603e-05,0.0027115425763287035,-0.13188354095842286,2.992892573301662,11.891688639152846,64.0
imagen63,-2.26307061719222e-05,0.0028368943109652977,-0.13820096713903096,3.110533030240136,12.2375919620001,64.0
imagen64,-2.2266388637337542e-05,0.0027646790658184114,-0.13363945815845754,3.007287028979574,12.651215477592517,64.0
imagen65,-2.103063143787942e-05,0.0026071372627722482,-0.127367896317791,2.935610683203166,11.33203830093386,64.0
imagen66,-1.7489664855041553e-05,0.0020926719118602704,-0.10166956309798625,2.4300734014226486,14.247907074014618,64.0
imagen67,-2.768743534220519e-05,0.003445379516466306,-0.16010438341492692,3.3373832067366473,11.186773507549665,65.0
imagen68,-2.5399546657256522e-05,0.0031816999522154754,-0.15073569320144936,3.2296527140748625,11.325883631436989,64.0
imagen69,-2.2292812485114055e-05,0.0027874676744858986,-0.13539390641703014,3.0516832392906457,11.600468718764734,64.0
imagen70,-2.3937803552698256e-05,0.002979181687260103,-0.14253748146146938,3.1486822334673183,11.14186022513701,65.0
imagen71,-2.0923825170937604e-05,0.002590367095631238,-0.12613604524356486,2.9101937946977774,11.579300454518359,64.0
imagen72,-2.2725840612247694e-05,0.0028149239143298865,-0.13518975849451295,3.0322716369006564,11.319285183059897,65.0
imagen73,-2.2363012405213212e-05,0.002775372013944942,-0.13378654438803184,3.0129410862769617,11.325794668237396,65.0
imagen74,-1.927322809147647e-05,0.0023214289603674144,-0.11101200029356302,2.5669103650425886,13.95861015139752,65.0
imagen75,-1.9288013940244042e-05,0.0023100484364623895,-0.1098196329218385,2.5340226495088887,14.102074150121844,65.0
