imagen1_x,imagen1_y,imagen2_x,imagen2_y,imagen3_x,imagen3_y,imagen4_x,imagen4_y,imagen5_x,imagen5_y,imagen6_x,imagen6_y,imagen7_x,imagen7_y,imagen8_x,imagen8_y,imagen9_x,imagen9_y,imagen10_x,imagen10_y,imagen11_x,imagen11_y,imagen12_x,imagen12_y,imagen13_x,imagen13_y,imagen14_x,imagen14_y,imagen15_x,imagen15_y,imagen16_x,imagen16_y,imagen17_x,imagen17_y,imagen18_x,imagen18_y,imagen19_x,imagen19_y,imagen20_x,imagen20_y,imagen21_x,imagen21_y,imagen22_x,imagen22_y,imagen23_x,imagen23_y,imagen24_x,imagen24_y,imagen25_x,imagen25_y,imagen26_x,imagen26_y,imagen27_x,imagen27_y,imagen28_x,imagen28_y,imagen29_x,imagen29_y,imagen30_x,imagen30_y,imagen31_x,imagen31_y,imagen32_x,imagen32_y,imagen33_x,imagen33_y,imagen34_x,imagen34_y,imagen35_x,imagen35_y,imagen36_x,imagen36_y,imagen37_x,imagen37_y,imagen38_x,imagen38_y,imagen39_x,imagen39_y,imagen40_x,imagen40_y,imagen41_x,imagen41_y,imagen42_x,imagen42_y,imagen43_x,imagen43_y,imagen44_x,imagen44_y,imagen45_x,imagen45_y,imagen46_x,imagen46_y,imagen47_x,imagen47_y,imagen48_x,imagen48_y,imagen49_x,imagen49_y,imagen50_x,imagen50_y,imagen51_x,imagen51_y,imagen52_x,imagen52_y,imagen53_x,imagen53_y,imagen54_x,imagen54_y,imagen55_x,imagen55_y,imagen56_x,imagen56_y,imagen57_x,imagen57_y,imagen58_x,imagen58_y,imagen59_x,imagen59_y,imagen60_x,imagen60_y,imagen61_x,imagen61_y,imagen62_x,imagen62_y,imagen63_x,imagen63_y,imagen64_x,imagen64_y,imagen65_x,imagen65_y,imagen66_x,imagen66_y,imagen67_x,imagen67_y,imagen68_x,imagen68_y,imagen69_x,imagen69_y,imagen70_x,imagen70_y,imagen71_x,imagen71_y,imagen72_x,imagen72_y,imagen73_x,imagen73_y,imagen74_x,imagen74_y,imagen75_x,imagen75_y,imagen76_x,imagen76_y,imagen77_x,imagen77_y,imagen78_x,imagen78_y,imagen79_x,imagen79_y,imagen80_x,imagen80_y,imagen81_x,imagen81_y,imagen82_x,imagen82_y,imagen83_x,imagen83_y,imagen84_x,imagen84_y,imagen85_x,imagen85_y,imagen86_x,imagen86_y,imagen87_x,imagen87_y,imagen88_x,imagen88_y,imagen89_x,imagen89_y,imagen90_x,imagen90_y,imagen91_x,imagen91_y,imagen92_x,imagen92_y,imagen93_x,imagen93_y,imagen94_x,imagen94_y,imagen95_x,imagen95_y,imagen96_x,imagen96_y,imagen97_x,imagen97_y,imagen98_x,imagen98_y,imagen99_x,imagen99_y,imagen100_x,imagen100_y,imagen101_x,imagen101_y,imagen102_x,imagen102_y,imagen103_x,imagen103_y,imagen104_x,imagen104_y,imagen105_x,imagen105_y,imagen106_x,imagen106_y,imagen107_x,imagen107_y,imagen108_x,imagen108_y,imagen109_x,imagen109_y,imagen110_x,imagen110_y,imagen111_x,imagen111_y,imagen112_x,imagen112_y,imagen113_x,imagen113_y,imagen114_x,imagen114_y,imagen115_x,imagen115_y,imagen116_x,imagen116_y,imagen117_x,imagen117_y,imagen118_x,imagen118_y,imagen119_x,imagen119_y,imagen120_x,imagen120_y,imagen121_x,imagen121_y,imagen122_x,imagen122_y,imagen123_x,imagen123_y,imagen124_x,imagen124_y,imagen125_x,imagen125_y,imagen126_x,imagen126_y
5.0,10.0,12.0,23.0,19.0,33.0,27.0,36.0,34.0,38.0,41.0,38.0,49.0,36.0,56.0,33.0,64.0,25.0,71.0,13.0,74.0,2.0,73.0,5.0,74.0,2.0,73.0,5.0,74.0,1.0,73.0,5.0,74.0,1.0,70.0,5.0,62.0,6.0,56.0,0.0,50.0,5.0,41.0,10.0,40.0,12.0,43.0,13.0,51.0,0.0,55.0,0.0,58.0,1.0,60.0,1.0,62.0,0.0,64.0,1.0,65.0,5.0,67.0,0.0,68.0,0.0,68.0,4.0,68.0,7.0,69.0,2.0,69.0,3.0,69.0,2.0,68.0,7.0,68.0,6.0,68.0,3.0,67.0,6.0,67.0,2.0,66.0,6.0,65.0,8.0,65.0,4.0,64.0,7.0,64.0,5.0,64.0,1.0,64.0,0.0,64.0,2.0,64.0,4.0,64.0,6.0,64.0,9.0,64.0,9.0,65.0,2.0,65.0,3.0,65.0,3.0,65.0,4.0,65.0,2.0,64.0,10.0,64.0,10.0,64.0,11.0,64.0,10.0,64.0,9.0,64.0,9.0,65.0,1.0,64.0,10.0,64.0,11.0,65.0,2.0,64.0,11.0,65.0,3.0,65.0,3.0,65.0,3.0,65.0,2.0,65.0,4.0,65.0,3.0,65.0,4.0,65.0,3.0,65.0,3.0,65.0,4.0,65.0,4.0,65.0,4.0,65.0,3.0,65.0,4.0,65.0,3.0,65.0,4.0,65.0,3.0,65.0,3.0,64.0,10.0,65.0,3.0,65.0,3.0,65.0,3.0,65.0,3.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,10.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,10.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0,64.0,11.0
5.0,9.0,12.0,22.0,19.0,31.0,27.0,35.0,34.0,37.0,41.0,37.0,49.0,35.0,56.0,32.0,64.0,24.0,71.0,12.0,74.0,1.0,73.0,4.0,74.0,1.0,73.0,4.0,74.0,0.0,73.0,4.0,74.0,0.0,70.0,4.0,62.0,5.0,55.0,7.0,50.0,4.0,41.0,9.0,40.0,11.0,43.0,12.0,50.0,5.0,54.0,6.0,58.0,0.0,60.0,0.0,61.0,5.0,64.0,0.0,65.0,4.0,66.0,6.0,67.0,7.0,68.0,3.0,68.0,6.0,69.0,1.0,69.0,2.0,69.0,1.0,68.0,6.0,68.0,5.0,68.0,2.0,67.0,5.0,67.0,1.0,66.0,5.0,65.0,7.0,65.0,3.0,64.0,6.0,64.0,4.0,64.0,0.0,63.0,8.0,64.0,1.0,64.0,3.0,64.0,5.0,64.0,8.0,64.0,8.0,65.0,1.0,65.0,2.0,65.0,2.0,65.0,3.0,65.0,1.0,64.0,9.0,64.0,9.0,64.0,10.0,64.0,9.0,64.0,8.0,64.0,8.0,64.0,10.0,64.0,9.0,64.0,10.0,65.0,1.0,64.0,10.0,65.0,2.0,65.0,2.0,65.0,2.0,65.0,1.0,65.0,3.0,65.0,2.0,65.0,3.0,65.0,2.0,65.0,2.0,65.0,3.0,65.0,3.0,65.0,3.0,65.0,2.0,65.0,3.0,65.0,2.0,65.0,3.0,65.0,2.0,64.0,11.0,64.0,9.0,65.0,2.0,65.0,2.0,65.0,2.0,65.0,2.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,9.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,9.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,10.0
5.0,8.0,12.0,21.0,19.0,30.0,27.0,34.0,34.0,36.0,41.0,36.0,49.0,34.0,56.0,31.0,64.0,23.0,71.0,11.0,74.0,0.0,73.0,3.0,74.0,0.0,73.0,3.0,73.0,7.0,73.0,3.0,73.0,7.0,70.0,3.0,62.0,4.0,55.0,6.0,50.0,3.0,41.0,8.0,40.0,10.0,43.0,11.0,50.0,4.0,54.0,5.0,57.0,7.0,59.0,7.0,61.0,4.0,63.0,6.0,65.0,3.0,66.0,5.0,67.0,6.0,68.0,2.0,68.0,5.0,69.0,0.0,69.0,1.0,69.0,0.0,68.0,5.0,68.0,4.0,68.0,1.0,67.0,4.0,67.0,0.0,66.0,4.0,65.0,6.0,65.0,2.0,64.0,5.0,64.0,3.0,63.0,9.0,63.0,7.0,64.0,0.0,64.0,2.0,64.0,4.0,64.0,7.0,64.0,7.0,65.0,0.0,65.0,1.0,65.0,1.0,65.0,2.0,65.0,0.0,64.0,8.0,64.0,8.0,64.0,9.0,64.0,8.0,64.0,7.0,64.0,7.0,64.0,9.0,64.0,8.0,64.0,9.0,65.0,0.0,64.0,9.0,65.0,1.0,65.0,1.0,65.0,1.0,65.0,0.0,65.0,2.0,65.0,1.0,65.0,2.0,65.0,1.0,65.0,1.0,65.0,2.0,65.0,2.0,65.0,2.0,65.0,1.0,65.0,2.0,65.0,1.0,65.0,2.0,65.0,1.0,64.0,10.0,64.0,8.0,64.0,11.0,65.0,1.0,64.0,11.0,64.0,11.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,8.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,8.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,9.0
5.0,7.0,12.0,20.0,19.0,29.0,27.0,33.0,34.0,35.0,41.0,35.0,49.0,33.0,56.0,30.0,64.0,22.0,71.0,10.0,73.0,8.0,73.0,2.0,73.0,8.0,73.0,2.0,73.0,6.0,73.0,2.0,73.0,6.0,70.0,2.0,62.0,3.0,55.0,5.0,50.0,2.0,41.0,7.0,40.0,9.0,43.0,10.0,50.0,3.0,54.0,4.0,57.0,6.0,59.0,6.0,61.0,3.0,63.0,5.0,65.0,2.0,66.0,4.0,67.0,5.0,68.0,1.0,68.0,4.0,68.0,8.0,69.0,0.0,68.0,9.0,68.0,4.0,68.0,3.0,68.0,0.0,67.0,3.0,66.0,8.0,66.0,3.0,65.0,5.0,65.0,1.0,64.0,4.0,64.0,2.0,63.0,8.0,63.0,6.0,63.0,10.0,64.0,1.0,64.0,3.0,64.0,6.0,64.0,6.0,64.0,10.0,65.0,0.0,65.0,0.0,65.0,1.0,64.0,9.0,64.0,7.0,64.0,7.0,64.0,8.0,64.0,7.0,64.0,6.0,64.0,6.0,64.0,8.0,64.0,7.0,64.0,8.0,64.0,11.0,64.0,8.0,65.0,0.0,65.0,0.0,65.0,0.0,64.0,11.0,65.0,1.0,65.0,0.0,65.0,1.0,65.0,0.0,65.0,0.0,65.0,1.0,65.0,1.0,65.0,1.0,65.0,0.0,65.0,1.0,65.0,0.0,65.0,1.0,65.0,0.0,64.0,9.0,64.0,7.0,64.0,10.0,64.0,11.0,64.0,10.0,64.0,10.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,7.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,7.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,8.0
5.0,6.0,12.0,19.0,19.0,28.0,27.0,32.0,34.0,34.0,41.0,34.0,49.0,32.0,56.0,29.0,64.0,21.0,71.0,9.0,73.0,7.0,73.0,1.0,73.0,7.0,73.0,1.0,73.0,5.0,73.0,1.0,73.0,5.0,70.0,1.0,62.0,2.0,55.0,4.0,50.0,1.0,41.0,6.0,40.0,8.0,43.0,9.0,50.0,2.0,54.0,3.0,57.0,5.0,59.0,5.0,61.0,2.0,63.0,4.0,65.0,1.0,66.0,3.0,67.0,4.0,68.0,0.0,68.0,3.0,68.0,7.0,68.0,9.0,68.0,8.0,68.0,3.0,68.0,2.0,67.0,9.0,67.0,2.0,66.0,7.0,66.0,2.0,65.0,4.0,65.0,0.0,64.0,3.0,64.0,1.0,63.0,7.0,63.0,5.0,63.0,9.0,64.0,0.0,64.0,2.0,64.0,5.0,64.0,5.0,64.0,9.0,64.0,10.0,64.0,10.0,65.0,0.0,64.0,8.0,64.0,6.0,64.0,6.0,64.0,7.0,64.0,6.0,64.0,5.0,64.0,5.0,64.0,7.0,64.0,6.0,64.0,7.0,64.0,10.0,64.0,7.0,64.0,10.0,64.0,11.0,64.0,11.0,64.0,10.0,65.0,0.0,64.0,12.0,65.0,0.0,64.0,11.0,64.0,11.0,65.0,0.0,65.0,0.0,65.0,0.0,64.0,11.0,64.0,11.0,64.0,11.0,65.0,0.0,64.0,11.0,64.0,8.0,64.0,6.0,64.0,9.0,64.0,10.0,64.0,9.0,64.0,9.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,6.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,6.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,7.0
5.0,5.0,12.0,18.0,19.0,27.0,27.0,31.0,34.0,33.0,41.0,33.0,49.0,31.0,56.0,28.0,64.0,20.0,71.0,8.0,73.0,6.0,73.0,0.0,73.0,6.0,73.0,0.0,73.0,4.0,73.0,0.0,73.0,4.0,70.0,0.0,62.0,1.0,55.0,3.0,50.0,0.0,41.0,5.0,40.0,7.0,43.0,8.0,50.0,1.0,54.0,2.0,57.0,4.0,59.0,4.0,61.0,1.0,63.0,3.0,65.0,0.0,66.0,2.0,67.0,3.0,67.0,9.0,68.0,2.0,68.0,6.0,68.0,8.0,68.0,7.0,68.0,2.0,68.0,1.0,67.0,8.0,67.0,1.0,66.0,6.0,66.0,1.0,65.0,3.0,64.0,10.0,64.0,2.0,64.0,0.0,63.0,6.0,63.0,4.0,63.0,8.0,63.0,10.0,64.0,1.0,64.0,4.0,64.0,4.0,64.0,8.0,64.0,9.0,64.0,9.0,64.0,11.0,64.0,7.0,64.0,5.0,64.0,5.0,64.0,6.0,64.0,5.0,64.0,4.0,64.0,4.0,64.0,6.0,64.0,5.0,64.0,6.0,64.0,9.0,64.0,6.0,64.0,9.0,64.0,10.0,64.0,10.0,64.0,9.0,64.0,12.0,64.0,11.0,64.0,12.0,64.0,10.0,64.0,10.0,64.0,11.0,64.0,12.0,64.0,11.0,64.0,10.0,64.0,10.0,64.0,10.0,64.0,12.0,64.0,10.0,64.0,7.0,64.0,5.0,64.0,8.0,64.0,9.0,64.0,8.0,64.0,8.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,5.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,5.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,6.0
5.0,4.0,12.0,17.0,19.0,26.0,27.0,30.0,34.0,32.0,41.0,32.0,49.0,30.0,56.0,27.0,64.0,19.0,71.0,7.0,73.0,5.0,72.0,9.0,73.0,5.0,72.0,9.0,73.0,3.0,72.0,9.0,73.0,3.0,69.0,9.0,62.0,0.0,55.0,2.0,49.0,8.0,41.0,4.0,40.0,6.0,43.0,7.0,49.0,9.0,54.0,1.0,57.0,3.0,59.0,3.0,60.0,9.0,63.0,2.0,64.0,9.0,66.0,1.0,67.0,2.0,67.0,8.0,68.0,1.0,68.0,5.0,68.0,7.0,68.0,6.0,68.0,1.0,68.0,0.0,67.0,7.0,67.0,0.0,66.0,5.0,66.0,0.0,65.0,2.0,64.0,9.0,64.0,1.0,63.0,10.0,63.0,5.0,63.0,3.0,63.0,7.0,63.0,9.0,64.0,0.0,64.0,3.0,64.0,3.0,64.0,7.0,64.0,8.0,64.0,8.0,64.0,10.0,64.0,6.0,64.0,4.0,64.0,4.0,64.0,5.0,64.0,4.0,64.0,3.0,64.0,3.0,64.0,5.0,64.0,4.0,64.0,5.0,64.0,8.0,64.0,5.0,64.0,8.0,64.0,9.0,64.0,9.0,64.0,8.0,64.0,11.0,64.0,10.0,64.0,11.0,64.0,9.0,64.0,9.0,64.0,10.0,64.0,11.0,64.0,10.0,64.0,9.0,64.0,9.0,64.0,9.0,64.0,11.0,64.0,9.0,64.0,6.0,64.0,4.0,64.0,7.0,64.0,8.0,64.0,7.0,64.0,7.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,4.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,4.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0,64.0,5.0
5.0,3.0,12.0,16.0,19.0,25.0,27.0,29.0,34.0,31.0,41.0,31.0,49.0,29.0,56.0,26.0,64.0,18.0,71.0,6.0,73.0,4.0,72.0,8.0,73.0,4.0,72.0,8.0,73.0,2.0,72.0,8.0,73.0,2.0,69.0,8.0,61.0,9.0,55.0,1.0,49.0,7.0,41.0,3.0,40.0,5.0,43.0,6.0,49.0,8.0,53.0,10.0,57.0,2.0,59.0,2.0,60.0,8.0,62.0,10.0,64.0,8.0,65.0,11.0,67.0,1.0,67.0,7.0,68.0,0.0,68.0,4.0,68.0,6.0,68.0,5.0,68.0,0.0,67.0,11.0,67.0,6.0,66.0,11.0,66.0,4.0,65.0,11.0,65.0,1.0,64.0,8.0,64.0,0.0,63.0,9.0,63.0,4.0,63.0,2.0,63.0,6.0,63.0,8.0,63.0,11.0,64.0,2.0,64.0,2.0,64.0,6.0,64.0,7.0,64.0,7.0,64.0,9.0,64.0,5.0,64.0,3.0,64.0,3.0,64.0,4.0,64.0,3.0,64.0,2.0,64.0,2.0,64.0,4.0,64.0,3.0,64.0,4.0,64.0,7.0,64.0,4.0,64.0,7.0,64.0,8.0,64.0,8.0,64.0,7.0,64.0,10.0,64.0,9.0,64.0,10.0,64.0,8.0,64.0,8.0,64.0,9.0,64.0,10.0,64.0,9.0,64.0,8.0,64.0,8.0,64.0,8.0,64.0,10.0,64.0,8.0,64.0,5.0,64.0,3.0,64.0,6.0,64.0,7.0,64.0,6.0,64.0,6.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,3.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,3.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0,64.0,4.0
5.0,2.0,12.0,15.0,19.0,24.0,27.0,28.0,34.0,30.0,41.0,30.0,49.0,28.0,56.0,25.0,64.0,17.0,71.0,5.0,73.0,3.0,72.0,7.0,73.0,3.0,72.0,7.0,72.0,11.0,72.0,7.0,72.0,10.0,69.0,7.0,61.0,8.0,54.0,11.0,49.0,6.0,41.0,2.0,40.0,4.0,43.0,5.0,49.0,7.0,53.0,9.0,56.0,11.0,58.0,11.0,60.0,7.0,62.0,9.0,64.0,7.0,65.0,10.0,66.0,10.0,67.0,6.0,67.0,11.0,68.0,3.0,68.0,5.0,68.0,4.0,67.0,11.0,67.0,10.0,67.0,5.0,66.0,10.0,66.0,3.0,65.0,10.0,65.0,0.0,64.0,7.0,63.0,11.0,63.0,8.0,63.0,3.0,63.0,1.0,63.0,5.0,63.0,7.0,63.0,10.0,64.0,1.0,64.0,1.0,64.0,5.0,64.0,6.0,64.0,6.0,64.0,8.0,64.0,4.0,64.0,2.0,64.0,2.0,64.0,3.0,64.0,2.0,64.0,1.0,64.0,1.0,64.0,3.0,64.0,2.0,64.0,3.0,64.0,6.0,64.0,3.0,64.0,6.0,64.0,7.0,64.0,7.0,64.0,6.0,64.0,9.0,64.0,8.0,64.0,9.0,64.0,7.0,64.0,7.0,64.0,8.0,64.0,9.0,64.0,8.0,64.0,7.0,64.0,7.0,64.0,7.0,64.0,9.0,64.0,7.0,64.0,4.0,64.0,2.0,64.0,5.0,64.0,6.0,64.0,5.0,64.0,5.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,2.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,2.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0,64.0,3.0
5.0,1.0,12.0,14.0,19.0,23.0,27.0,27.0,34.0,29.0,41.0,29.0,49.0,27.0,56.0,24.0,64.0,16.0,71.0,4.0,72.0,11.0,72.0,6.0,72.0,12.0,72.0,6.0,72.0,10.0,72.0,6.0,72.0,9.0,69.0,6.0,61.0,7.0,54.0,10.0,48.0,10.0,41.0,1.0,40.0,3.0,43.0,4.0,49.0,6.0,53.0,8.0,56.0,10.0,58.0,10.0,60.0,6.0,62.0,8.0,64.0,6.0,65.0,9.0,66.0,9.0,67.0,5.0,67.0,10.0,67.0,12.0,68.0,4.0,68.0,3.0,67.0,10.0,67.0,9.0,67.0,4.0,66.0,9.0,65.0,12.0,65.0,9.0,64.0,12.0,64.0,6.0,63.0,10.0,63.0,7.0,63.0,2.0,62.0,13.0,63.0,4.0,63.0,6.0,63.0,9.0,64.0,0.0,64.0,0.0,64.0,4.0,64.0,5.0,64.0,5.0,64.0,7.0,64.0,3.0,64.0,1.0,64.0,1.0,64.0,2.0,64.0,1.0,64.0,0.0,64.0,0.0,64.0,2.0,64.0,1.0,64.0,2.0,64.0,5.0,64.0,2.0,64.0,5.0,64.0,6.0,64.0,6.0,64.0,5.0,64.0,8.0,64.0,7.0,64.0,8.0,64.0,6.0,64.0,6.0,64.0,7.0,64.0,8.0,64.0,7.0,64.0,6.0,64.0,6.0,64.0,6.0,64.0,8.0,64.0,6.0,64.0,2.0,64.0,1.0,64.0,4.0,64.0,5.0,64.0,4.0,64.0,4.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,1.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,1.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0,64.0,2.0
